/*
From CIE's open access data sets: CIE 2006, CIE 2006 LMS cone
fundamentals for 2° field size in terms of energy, International
Commission on Illumination (CIE), Vienna, Austria, DOI:
10.25039/CIE.DS.tijidesg
    
Original data have been extrapolated and interpolated with cubic
splines on log-transformed values to 1 nm spectral resolution.

Column 1: Wavelength [nm]
Column 2: Long-wavelength cones
Column 3: Medium-wavelength cones
Column 4: Short-wavelength cones
*/

485  1.6395e-01  2.6806e-01  2.9032e-01
486  1.6893e-01  2.7456e-01  2.7263e-01
487  1.7407e-01  2.8118e-01  2.5577e-01
488  1.7946e-01  2.8810e-01  2.3994e-01
489  1.8524e-01  2.9551e-01  2.2528e-01
490  1.9156e-01  3.0363e-01  2.1187e-01
491  1.9853e-01  3.1265e-01  1.9972e-01
492  2.0618e-01  3.2256e-01  1.8867e-01
493  2.1449e-01  3.3332e-01  1.7855e-01
494  2.2341e-01  3.4484e-01  1.6921e-01
495  2.3293e-01  3.5706e-01  1.6052e-01
496  2.4299e-01  3.6989e-01  1.5237e-01
497  2.5362e-01  3.8335e-01  1.4462e-01
498  2.6481e-01  3.9746e-01  1.3717e-01
499  2.7659e-01  4.1226e-01  1.2994e-01
500  2.8896e-01  4.2776e-01  1.2284e-01
501  3.0194e-01  4.4400e-01  1.1583e-01
502  3.1551e-01  4.6094e-01  1.0892e-01
503  3.2967e-01  4.7856e-01  1.0212e-01
504  3.4442e-01  4.9679e-01  9.5437e-02
505  3.5972e-01  5.1558e-01  8.8896e-02
506  3.7555e-01  5.3487e-01  8.2533e-02
507  3.9189e-01  5.5457e-01  7.6460e-02
508  4.0872e-01  5.7464e-01  7.0776e-02
509  4.2600e-01  5.9498e-01  6.5548e-02
510  4.4368e-01  6.1552e-01  6.0820e-02
511  4.6173e-01  6.3616e-01  5.6592e-02
512  4.8009e-01  6.5687e-01  5.2766e-02
513  4.9871e-01  6.7762e-01  4.9244e-02
514  5.1753e-01  6.9839e-01  4.5947e-02
515  5.3649e-01  7.1915e-01  4.2812e-02
516  5.5549e-01  7.3984e-01  3.9802e-02
517  5.7438e-01  7.6023e-01  3.6923e-02
518  5.9299e-01  7.8003e-01  3.4191e-02
519  6.1113e-01  7.9893e-01  3.1616e-02
520  6.2856e-01  8.1660e-01  2.9203e-02
521  6.4514e-01  8.3277e-01  2.6953e-02
522  6.6091e-01  8.4754e-01  2.4857e-02
523  6.7600e-01  8.6111e-01  2.2904e-02
524  6.9055e-01  8.7369e-01  2.1085e-02
525  7.0473e-01  8.8554e-01  1.9391e-02
526  7.1867e-01  8.9687e-01  1.7814e-02
527  7.3233e-01  9.0763e-01  1.6351e-02
528  7.4561e-01  9.1775e-01  1.4998e-02
529  7.5842e-01  9.2714e-01  1.3750e-02
530  7.7064e-01  9.3569e-01  1.2601e-02
531  7.8222e-01  9.4336e-01  1.1546e-02
532  7.9330e-01  9.5031e-01  1.0577e-02
533  8.0409e-01  9.5673e-01  9.6826e-03
534  8.1482e-01  9.6284e-01  8.8574e-03
535  8.2571e-01  9.6886e-01  8.0945e-03
536  8.3694e-01  9.7492e-01  7.3889e-03
537  8.4835e-01  9.8085e-01  6.7380e-03
538  8.5967e-01  9.8639e-01  6.1394e-03
539  8.7065e-01  9.9127e-01  5.5907e-03
540  8.8101e-01  9.9522e-01  5.0890e-03
541  8.9049e-01  9.9801e-01  4.6312e-03
542  8.9905e-01  9.9960e-01  4.2136e-03
543  9.0667e-01  9.9999e-01  3.8328e-03
544  9.1335e-01  9.9918e-01  3.4856e-03
545  9.1907e-01  9.9719e-01  3.1689e-03
546  9.2390e-01  9.9410e-01  2.8802e-03
547  9.2810e-01  9.9021e-01  2.6170e-03
548  9.3200e-01  9.8586e-01  2.3770e-03
549  9.3592e-01  9.8140e-01  2.1583e-03
550  9.4020e-01  9.7719e-01  1.9589e-03
551  9.4508e-01  9.7344e-01  1.7774e-03
552  9.5037e-01  9.6988e-01  1.6122e-03
553  9.5578e-01  9.6613e-01  1.4621e-03
554  9.6100e-01  9.6182e-01  1.3260e-03
555  9.6574e-01  9.5658e-01  1.2028e-03
556  9.6975e-01  9.5016e-01  1.0912e-03
557  9.7314e-01  9.4276e-01  9.9013e-04
558  9.7610e-01  9.3470e-01  8.9855e-04
559  9.7880e-01  9.2626e-01  8.1552e-04
560  9.8145e-01  9.1774e-01  7.4017e-04
561  9.8419e-01  9.0933e-01  6.7177e-04
562  9.8697e-01  9.0089e-01  6.0969e-04
563  9.8968e-01  8.9220e-01  5.5338e-04
564  9.9222e-01  8.8304e-01  5.0230e-04
565  9.9449e-01  8.7321e-01  4.5599e-04
