/*
Particulate absorption and scattering spectra, normalized by SPM 
Scattering spectra estimated from LISST-VSF PSD power-function fit 
(see Boss et al. 2013) scaled by LISST-VSF scattering coefficient at 515 nm 
Total (a_p) and bleached (a_d) absorption spectra from UV/VIS 
spectrophotometer measurements with GF/F filter.

Lat, Lon =  59.8787 ,  5.65556 
Date Time UTC =  20-May-2022 11:32:00 
Depth = 1 m  
SPM =  20.13  g/m3 
POC = -999 mg/m3 
PSD power-law exponent (~1.5-147 um) =  4.453 
Scattering spectra power-function exponent (400-700 nm) =  1.252 

Created by Elinor Tessin on  04-Jun-2024 11:49:35 
Data Version:  V1_04-Jun-2024 
Column 1: wavelength [nm]
Column 2: a_p [m^2/g]
Column 3: a_d [m^2/g]
Column 4: b_p [m^2/g]
*/
440   8.351e-03   1.188e-03  0.429
441   8.328e-03   1.178e-03  0.428
442   8.306e-03   1.167e-03  0.427
443   8.264e-03   1.153e-03  0.426
444   8.222e-03   1.139e-03  0.425
445   8.154e-03   1.126e-03  0.423
446   8.087e-03   1.114e-03  0.422
447   8.020e-03   1.106e-03  0.421
448   7.953e-03   1.098e-03  0.420
449   7.906e-03   1.089e-03  0.419
450   7.859e-03   1.079e-03  0.418
451   7.832e-03   1.069e-03  0.416
452   7.804e-03   1.059e-03  0.415
453   7.787e-03   1.047e-03  0.414
454   7.769e-03   1.034e-03  0.413
455   7.762e-03   1.021e-03  0.412
456   7.755e-03   1.007e-03  0.411
457   7.769e-03   1.003e-03  0.410
458   7.784e-03   9.995e-04  0.408
459   7.797e-03   9.948e-04  0.407
460   7.809e-03   9.901e-04  0.406
461   7.809e-03   9.784e-04  0.405
462   7.809e-03   9.667e-04  0.404
463   7.792e-03   9.575e-04  0.403
464   7.774e-03   9.483e-04  0.402
465   7.745e-03   9.399e-04  0.401
466   7.715e-03   9.314e-04  0.400
467   7.668e-03   9.237e-04  0.399
468   7.620e-03   9.160e-04  0.398
469   7.568e-03   9.098e-04  0.396
470   7.516e-03   9.036e-04  0.395
471   7.452e-03   8.932e-04  0.394
472   7.387e-03   8.828e-04  0.393
473   7.310e-03   8.731e-04  0.392
474   7.233e-03   8.634e-04  0.391
475   7.151e-03   8.505e-04  0.390
476   7.069e-03   8.376e-04  0.389
477   6.972e-03   8.241e-04  0.388
478   6.875e-03   8.107e-04  0.387
479   6.776e-03   7.988e-04  0.386
480   6.677e-03   7.869e-04  0.385
481   6.570e-03   7.765e-04  0.384
482   6.463e-03   7.660e-04  0.383
483   6.346e-03   7.578e-04  0.382
484   6.230e-03   7.496e-04  0.381
485   6.123e-03   7.399e-04  0.380
486   6.016e-03   7.303e-04  0.379
487   5.909e-03   7.221e-04  0.378
488   5.802e-03   7.139e-04  0.377
489   5.688e-03   7.047e-04  0.376
490   5.574e-03   6.955e-04  0.375
491   5.457e-03   6.858e-04  0.374
492   5.340e-03   6.761e-04  0.373
493   5.229e-03   6.684e-04  0.372
494   5.117e-03   6.607e-04  0.372
495   5.006e-03   6.530e-04  0.371
496   4.895e-03   6.453e-04  0.370
497   4.782e-03   6.374e-04  0.369
498   4.670e-03   6.294e-04  0.368
499   4.558e-03   6.217e-04  0.367
500   4.447e-03   6.140e-04  0.366
501   4.338e-03   6.058e-04  0.365
502   4.228e-03   5.976e-04  0.364
503   4.126e-03   5.907e-04  0.363
504   4.024e-03   5.837e-04  0.362
505   3.933e-03   5.760e-04  0.361
506   3.843e-03   5.683e-04  0.361
507   3.754e-03   5.601e-04  0.360
508   3.665e-03   5.519e-04  0.359
509   3.589e-03   5.440e-04  0.358
510   3.512e-03   5.360e-04  0.357
511   3.445e-03   5.301e-04  0.356
512   3.378e-03   5.241e-04  0.355
513   3.302e-03   5.174e-04  0.354
514   3.226e-03   5.107e-04  0.354
515   3.159e-03   5.050e-04  0.353
516   3.092e-03   4.993e-04  0.352
517   3.038e-03   4.925e-04  0.351
518   2.983e-03   4.857e-04  0.350
519   2.929e-03   4.803e-04  0.349
520   2.876e-03   4.748e-04  0.348
521   2.824e-03   4.701e-04  0.348
522   2.771e-03   4.655e-04  0.347
523   2.718e-03   4.625e-04  0.346
524   2.664e-03   4.596e-04  0.345
525   2.610e-03   4.535e-04  0.344
526   2.556e-03   4.473e-04  0.343
527   2.506e-03   4.395e-04  0.343
528   2.456e-03   4.316e-04  0.342
529   2.407e-03   4.291e-04  0.341
530   2.359e-03   4.265e-04  0.340
531   2.317e-03   4.223e-04  0.339
532   2.274e-03   4.180e-04  0.339
533   2.227e-03   4.126e-04  0.338
534   2.180e-03   4.073e-04  0.337
535   2.130e-03   4.038e-04  0.336
536   2.081e-03   4.002e-04  0.335
537   2.033e-03   3.895e-04  0.335
538   1.985e-03   3.788e-04  0.334
539   1.939e-03   3.692e-04  0.333
540   1.894e-03   3.595e-04  0.332
541   1.850e-03   3.585e-04  0.332
542   1.807e-03   3.576e-04  0.331
543   1.764e-03   3.576e-04  0.330
544   1.722e-03   3.575e-04  0.329
545   1.683e-03   3.499e-04  0.329
546   1.644e-03   3.422e-04  0.328
