-0.2453 0.9571 0.1543   -0.2453 0.9571 0.1543
-0.09355 0.4446 0.2087   0.1871 -0.8892 -0.4174
0.149 -0.3747 0.2957   -0.2979 0.7493 -0.5914
0.3007 -0.8871 0.3501   0.3007 -0.8871 0.3501
0.3572 -0.8479 0.3917   0.3572 -0.8479 0.3917
0.6088 0.4141 0.6767   0.6088 0.4141 0.6767
0.5907 0.4577 0.6645   0.5907 0.4577 0.6645
0.2827 -0.1789 0.3716   -0.5655 0.3577 -0.7432
0.1964 -0.3572 0.2895   -0.3928 0.7144 -0.579
-0.1116 -0.9937 -0.003419   -0.1116 -0.9937 -0.003419
-0.1816 -0.9804 -0.0768   -0.1816 -0.9804 -0.0768
-0.5518 0.6421 -0.5322   -0.5518 0.6421 -0.5322
-0.454 0.6933 -0.5597   -0.454 0.6933 -0.5597
0.8408 0.09768 -0.5324   0.8408 0.09768 -0.5324
0.8528 0.09825 -0.513   0.8528 0.09825 -0.513
-0.5141 0.8019 -0.3043   -0.5141 0.8019 -0.3043
-0.4608 0.8553 -0.2368   -0.4608 0.8553 -0.2368
0.5461 0.8343 0.07506   0.5461 0.8343 0.07506
0.5659 0.8131 0.1367   0.5659 0.8131 0.1367
-0.7198 0.6535 0.2342   -0.7198 0.6535 0.2342
-0.7918 0.4986 0.3529   -0.7918 0.4986 0.3529
-0.4395 -0.1735 0.8813   -0.4395 -0.1735 0.8813
-0.04433 -0.1369 0.9896   -0.04433 -0.1369 0.9896
-0.6874 0.6722 0.275   -0.6874 0.6722 0.275
-0.5155 0.8564 0.02822   -0.5155 0.8564 0.02822
-0.2185 0.9617 -0.1654   -0.2185 0.9617 -0.1654
-0.1575 0.9797 -0.1244   -0.1575 0.9797 -0.1244
-0.4549 0.8683 0.1976   -0.4549 0.8683 0.1976
-0.5628 0.7048 0.4319   -0.5628 0.7048 0.4319
0.3988 -0.4259 0.8121   0.3988 -0.4259 0.8121
0.3952 -0.4682 0.7903   0.3952 -0.4682 0.7903
-0.1179 -0.1521 0.4615   0.2358 0.3043 -0.9229
-0.4213 0.0347 0.2671   0.8425 -0.0694 -0.5341
-0.9344 0.3508 -0.06176   -0.9344 0.3508 -0.06176
-0.987 0.1578 0.03166   -0.987 0.1578 0.03166
-0.9394 -0.223 0.2604   -0.9394 -0.223 0.2604
-0.2046 -0.4265 0.881   -0.2046 -0.4265 0.881
0.4159 -0.7182 0.5578   0.4159 -0.7182 0.5578
0.7061 -0.5592 0.4345   0.7061 -0.5592 0.4345
0.9216 -0.09978 0.375   0.9216 -0.09978 0.375
0.95 0.2565 0.178   0.95 0.2565 0.178
0.6604 0.6448 -0.385   0.6604 0.6448 -0.385
0.5662 0.6173 -0.5462   0.5662 0.6173 -0.5462
0.4819 -0.716 -0.5051   0.4819 -0.716 -0.5051
-0.3279 -0.6533 -0.6824   -0.3279 -0.6533 -0.6824
-0.4953 -0.3445 0.7975   -0.4953 -0.3445 0.7975
-0.4209 -0.3633 0.8312   -0.4209 -0.3633 0.8312
0.5248 -0.8406 -0.1336   0.5248 -0.8406 -0.1336
0.5893 -0.7923 -0.158   0.5893 -0.7923 -0.158
0.2418 0.5545 0.7963   0.2418 0.5545 0.7963
0.1718 0.6458 0.7439   0.1718 0.6458 0.7439
-0.3821 0.6263 -0.6795   -0.3821 0.6263 -0.6795
-0.7812 0.4863 -0.3913   -0.7812 0.4863 -0.3913
-0.5904 0.7785 -0.2129   -0.5904 0.7785 -0.2129
-0.3902 0.9184 -0.06552   -0.3902 0.9184 -0.06552
-0.1215 0.4847 -0.01663   0.243 -0.9694 0.03326
0.377 -0.3199 0.07409   -0.754 0.6399 -0.1482
0.6457 -0.7536 0.123   0.6457 -0.7536 0.123
0.6021 -0.7961 0.06132   0.6021 -0.7961 0.06132
-0.5477 -0.2827 -0.7875   -0.5477 -0.2827 -0.7875
-0.5793 -0.1764 -0.7958   -0.5793 -0.1764 -0.7958
-0.1871 0.2044 -0.4162   0.3742 -0.4087 0.8324
0.08486 0.4684 -0.153   -0.1697 -0.9368 0.306
0.4771 0.8492 0.2266   0.4771 0.8492 0.2266
0.4088 0.8369 0.364   0.4088 0.8369 0.364
-0.4229 0.3665 0.8287   -0.4229 0.3665 0.8287
-0.3867 0.09133 0.9177   -0.3867 0.09133 0.9177
-0.03927 -0.3182 0.9472   -0.03927 -0.3182 0.9472
0.1729 -0.4879 0.8556   0.1729 -0.4879 0.8556
0.7718 -0.06452 -0.6326   0.7718 -0.06452 -0.6326
